	Mons	Inter	Diff	E-	E+	Items	MinPr
UT1	5	200	5	10	1	15:30	0
Ut2	15	175	20	5	2	20:40	5
Ut3	10	150	35	0	3	15:30	10
UT4	25	60	100	0	40	15:30	70

GC1	10	140	50	0	5	25:50	20
GC2	12	130	60	0	10	25:50	30
GC3	14	120	70	0	15	25:50	40
GC4	16	110	80	0	20	25:50	50
GC5	18	100	90	0	25	35:70	60
GC6	30	90	100	0	30	25:50	70
GC7	22	80	110	0	35	25:50	80
GC8	24	70	120	0	40	25:50	90
GC9	26	60	130	0	45	0	100
GC10	30	50	150	0	50	25:50	120
GC11	34	40	170	0	55	35:70	140
GC12	50	30	190	0	60	45:90	160

AC3	10	100	10	25	5	0	-
AC4	15	75	20	15	15	0	-
AC5	20	50	30	5	25	0	-
