Name				Possibility
banana				200
holybanana			10
lamp				50
can				200
lump				200
sword				0
twohandedsword			20
curvedtwohandedsword		10
valpurijustifier		0
axe				200
pickaxe				100
spear				100
platemail			5
chainmail			50
maakotkashirt			0
corpse				50
potion				200
bananapeals			100
brokenbottle			50
scrollofcreatemonster		100
scrollofteleport		50
head				0
headofelpuri			0
nut				0
leftnutofperttu			0
abone				200
poleaxe				100
spikedmace			50
htaedfoneercseulb		0
loaf				100
scrollofwishing			1
cheapcopyofleftnutofperttu	10
wandofpolymorph			20
arrow				200
headofennerbeast		10
brokenlamp			50
scrollofchangematerial		3
avatarofvalpuri			0
wandofstriking			10
brokenplatemail			10
