/*
 *
 *  Iter Vehemens ad Necem (IVAN)
 *  Copyright (C) Timo Kiviluoto
 *  Released under the GNU General
 *  Public License
 *
 *  See LICENSING which should be included
 *  along with this file for more details
 *
 */

/*
 * NOTICE!!!
 *
 * This file contains SPOILERS, which might ruin your IVAN experience
 * totally. Also, editing anything can DESTROY GAME BALANCE or CAUSE
 * OBSCURE BUGS if you don't know what you're doing. So from here on,
 * proceed at your own risk!
 */

/* Numerical material data loaded during game startup */

/* Default values: */

material
{
  /* Obligatory: StrengthValue */
  /* Obligatory: ConsumeType */
  /* Obligatory: Density */
  /* Obligatory: Color */
  PriceModifier = 0;
  Emitation = 0;
  NutritionValue = 0;
  ConsumeWisdomLimit = NO_LIMIT;
  /* Obligatory: NameStem */
  /* NameStem by default: AdjectiveStem */
  Effect = EFFECT_NOTHING;
  ConsumeEndMessage = CEM_NOTHING;
  HitMessage = HM_NOTHING;
  ExplosivePower = 0;
  Alpha = 255;
  Flexibility = 1;
  EffectStrength = 100;
  /* DigProductMaterial defaults to Config */
  /* Obligatory: AttachedGod */
  StepInWisdomLimit = NO_LIMIT;
  Acidicity = 0;
  NaturalForm = lump;
  HardenedMaterial = NONE;
  SoftenedMaterial = NONE;
  IntelligenceRequirement = 1;
  CommonFlags = IS_ABSTRACT|CAN_BE_WISHED|CAN_BE_MIRRORED|CAN_BE_DETECTED;
  NameFlags = 0;
  CategoryFlags = 0;
  BodyFlags = USE_MATERIAL_ATTRIBUTES;
  InteractionFlags = CAN_DISSOLVE;
  Stickiness = 0;
  DisablesPanicWhenConsumed = false;
  BlockESP = false;
  FireResistance = 0;
  BurnModifier = 1000;
}

solid
{
  /*
   * Metals
   */

  Config VALPURIUM;
  {
    StrengthValue = 400;
    ConsumeType = CT_METAL;
    Density = 3000;
    Color = rgb16(46, 224, 56);
    Emitation = rgb24(150, 150, 150);
    PriceModifier = 50000;
    NameStem = "valpurium";
    Flexibility = 4;
    AttachedGod = VALPURUS;
    IntelligenceRequirement = 50;
    CommonFlags = Base|IS_VALUABLE;
    CategoryFlags = Base|IS_METAL|IS_SPARKLING;
    InteractionFlags = Base&~CAN_DISSOLVE;
  }

  /* Bronze metals */

  Config TIN;
  {
    StrengthValue = 60;
    ConsumeType = CT_METAL;
    Density = 7250;
    Color = rgb16(100, 100, 100);
    PriceModifier = 15;
    IntelligenceRequirement = 3;
    NameStem = "tin";
    AttachedGod = LORICATUS;
    SoftenedMaterial = SULFUR;
    HardenedMaterial = COPPER;
    CategoryFlags = Base|IS_METAL|IS_GOLEM_MATERIAL;
    BlockESP = true;
  }

  Config COPPER;
  {
    StrengthValue = 70;
    ConsumeType = CT_METAL;
    Density = 9000; /* rounded from 8920 */
    Color = rgb16(96, 64, 32);
    PriceModifier = 20;
    IntelligenceRequirement = 4;
    NameStem = "copper";
    AttachedGod = LORICATUS;
    SoftenedMaterial = TIN;
    HardenedMaterial = BRONZE;
    CategoryFlags = Base|IS_METAL|IS_GOLEM_MATERIAL;
  }

  Config BRONZE;
  {
    StrengthValue = 80;
    ConsumeType = CT_METAL;
    Density = 8300;
    Color = rgb16(150, 100, 50);
    PriceModifier = 30;
    IntelligenceRequirement = 5;
    NameStem = "bronze";
    AttachedGod = LORICATUS;
    SoftenedMaterial = COPPER;
    HardenedMaterial = DEEP_BRONZE;
    CategoryFlags = Base|IS_METAL|IS_GOLEM_MATERIAL;
  }

  Config VERDIGRIS;
  {
    StrengthValue = 80;
    ConsumeType = CT_METAL;
    Density = 8000;
    Color = rgb16(67, 179, 174);
    PriceModifier = 5;
    IntelligenceRequirement = 2;
    NameStem = "verdigris";
    AttachedGod = LORICATUS;
    HardenedMaterial = DEEP_BRONZE;
    CategoryFlags = Base|IS_METAL|IS_GOLEM_MATERIAL;
  }

  Config DEEP_BRONZE;
  {
    StrengthValue = 120;
    ConsumeType = CT_METAL;
    Density = 5000;
    Color = rgb16(120, 80, 40);
    PriceModifier = 40;
    IntelligenceRequirement = 9;
    NameStem = "deep bronze";
    AttachedGod = LORICATUS;
    SoftenedMaterial = BRONZE;
    HardenedMaterial = BRASS;
    CommonFlags = Base|IS_VALUABLE;
    CategoryFlags = Base|IS_METAL|IS_GOLEM_MATERIAL;
  }

  Config BRASS;
  {
    StrengthValue = 175;
    ConsumeType = CT_METAL;
    Density = 3000;
    Color = rgb16(181, 166, 66);
    PriceModifier = 500;
    IntelligenceRequirement = 19;
    NameStem = "djinni brass";
    AttachedGod = LORICATUS;
    SoftenedMaterial = DEEP_BRONZE;
    HardenedMaterial = HEPATIZON;
    CommonFlags = Base|IS_VALUABLE;
    CategoryFlags = Base|IS_METAL|IS_GOLEM_MATERIAL;
    InteractionFlags = Base&~CAN_DISSOLVE;
  }

  Config HEPATIZON;
  {
    StrengthValue = 215;
    ConsumeType = CT_METAL;
    Density = 1500;
    Color = rgb16(91, 81, 31);
    PriceModifier = 1000;
    IntelligenceRequirement = 28;
    NameStem = "hepatizon";
    AttachedGod = LORICATUS;
    SoftenedMaterial = BRASS;
    HardenedMaterial = OCTIRON;
    CommonFlags = Base|IS_VALUABLE;
    CategoryFlags = Base|IS_METAL|IS_GOLEM_MATERIAL;
